127.0.0.1 - - [08/May/2023:22:04:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/May/2023:22:04:37 +0530] "GET /Advance_Java_Assignment_3/login.jsp HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [08/May/2023:22:04:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/May/2023:22:05:38 +0530] "POST /Advance_Java_Assignment_3/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2023:22:05:38 +0530] "GET /Advance_Java_Assignment_3/home.jsp HTTP/1.1" 200 4855
0:0:0:0:0:0:0:1 - - [08/May/2023:22:05:39 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Nike%20Air%20Jordan HTTP/1.1" 500 109122
0:0:0:0:0:0:0:1 - - [08/May/2023:22:05:39 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Puma HTTP/1.1" 500 32855
0:0:0:0:0:0:0:1 - - [08/May/2023:22:08:02 +0530] "POST /Advance_Java_Assignment_3/save HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/May/2023:22:08:10 +0530] "POST /Advance_Java_Assignment_3/save HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/May/2023:22:08:11 +0530] "GET /Advance_Java_Assignment_3/home.jsp HTTP/1.1" 200 4855
0:0:0:0:0:0:0:1 - - [08/May/2023:22:08:11 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Puma HTTP/1.1" 500 32855
0:0:0:0:0:0:0:1 - - [08/May/2023:22:08:11 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Nike%20Air%20Jordan HTTP/1.1" 500 109122
0:0:0:0:0:0:0:1 - - [08/May/2023:22:08:16 +0530] "POST /Advance_Java_Assignment_3/save HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/May/2023:22:08:18 +0530] "GET /Advance_Java_Assignment_3/home.jsp HTTP/1.1" 200 4855
0:0:0:0:0:0:0:1 - - [08/May/2023:22:08:48 +0530] "POST /Advance_Java_Assignment_3/save HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/May/2023:22:09:03 +0530] "POST /Advance_Java_Assignment_3/save HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/May/2023:22:09:05 +0530] "GET /Advance_Java_Assignment_3/home.jsp HTTP/1.1" 200 4855
0:0:0:0:0:0:0:1 - - [08/May/2023:22:09:37 +0530] "POST /Advance_Java_Assignment_3/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2023:22:09:37 +0530] "GET /Advance_Java_Assignment_3/home.jsp HTTP/1.1" 200 5789
0:0:0:0:0:0:0:1 - - [08/May/2023:22:09:37 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Nike%20Air%20Jordan HTTP/1.1" 500 109122
0:0:0:0:0:0:0:1 - - [08/May/2023:22:09:37 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Puma HTTP/1.1" 500 32855
0:0:0:0:0:0:0:1 - - [08/May/2023:22:09:37 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=ReeBok HTTP/1.1" 500 32855
0:0:0:0:0:0:0:1 - - [08/May/2023:22:09:50 +0530] "GET /Advance_Java_Assignment_3/DeleteProduct?title=ReeBok HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2023:22:09:50 +0530] "GET /Advance_Java_Assignment_3/home.jsp HTTP/1.1" 200 4855
0:0:0:0:0:0:0:1 - - [08/May/2023:22:09:50 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Puma HTTP/1.1" 500 32855
0:0:0:0:0:0:0:1 - - [08/May/2023:22:09:50 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Nike%20Air%20Jordan HTTP/1.1" 500 109122
0:0:0:0:0:0:0:1 - - [08/May/2023:22:09:53 +0530] "GET /Advance_Java_Assignment_3/EditProduct.jsp?title=Puma&quantity=2&size=10 HTTP/1.1" 200 1907
0:0:0:0:0:0:0:1 - - [08/May/2023:22:10:12 +0530] "POST /Advance_Java_Assignment_3/Edit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2023:22:10:12 +0530] "GET /Advance_Java_Assignment_3/home.jsp HTTP/1.1" 200 4855
0:0:0:0:0:0:0:1 - - [08/May/2023:22:10:12 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Puma HTTP/1.1" 500 32855
0:0:0:0:0:0:0:1 - - [08/May/2023:22:10:12 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Nike%20Air%20Jordan HTTP/1.1" 500 109122
0:0:0:0:0:0:0:1 - - [08/May/2023:22:26:54 +0530] "POST /Advance_Java_Assignment_3/save HTTP/1.1" 200 4885
0:0:0:0:0:0:0:1 - - [08/May/2023:22:26:54 +0530] "GET /Advance_Java_Assignment_3/image.jsp?title=Puma HTTP/1.1" 500 32855
