0:0:0:0:0:0:0:1 - - [28/Apr/2023:00:46:07 +0530] "POST /Advance_Java_Assignment_4/Search HTTP/1.1" 200 5676
127.0.0.1 - - [28/Apr/2023:00:57:57 +0530] "GET /struts2-showcase/struts/utils.js HTTP/1.1" 404 791
127.0.0.1 - - [28/Apr/2023:00:57:57 +0530] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [28/Apr/2023:00:57:57 +0530] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [28/Apr/2023:00:57:57 +0530] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [28/Apr/2023:00:57:57 +0530] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [28/Apr/2023:00:57:58 +0530] "GET /oXygenLicenseServlet/index.jsp HTTP/1.1" 404 764
127.0.0.1 - - [28/Apr/2023:00:57:58 +0530] "GET /dashboard/ HTTP/1.1" 404 765
127.0.0.1 - - [28/Apr/2023:00:57:58 +0530] "GET null HTTP/1.1" 400 2152
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /:undefined HTTP/1.1" 404 761
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /:undefined HTTP/1.1" 404 761
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /struts2-showcase/struts/tooltip.gif HTTP/1.1" 404 794
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /:undefined HTTP/1.1" 404 761
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /struts2-showcase/struts/domtt.css HTTP/1.1" 404 792
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /struts2-showcase/struts/domTT.js HTTP/1.1" 404 791
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /:undefined HTTP/1.1" 404 761
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /struts2-showcase/struts/inputtransfersselect.js HTTP/1.1" 404 806
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /:undefined HTTP/1.1" 404 761
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /struts2-showcase/struts/optiontransferselect.js HTTP/1.1" 404 806
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /:undefined HTTP/1.1" 404 761
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /struts2-showcase HTTP/1.1" 404 767
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /:undefined HTTP/1.1" 404 761
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /:undefined HTTP/1.1" 404 761
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /:undefined HTTP/1.1" 404 761
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /:undefined HTTP/1.1" 404 761
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /:undefined HTTP/1.1" 404 761
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET /:undefined HTTP/1.1" 404 761
127.0.0.1 - - [28/Apr/2023:00:58:00 +0530] "GET / HTTP/1.1" 404 751
